PHiladelphia - PA ,,,,
Type of Establishment ,Name ,Address,Longitude ,Latitude 
Hotel ,Attucks ,8015 S. 15th St.,39.931922,-75.169782
Hotel ,Baltimore,1438 Lombard St. ,39.944687,-75.166776
Hotel ,Citizens ,420 S. 15th St. ,39.945041,-75.167203
Hotel ,Douglas ,Broad & Lombard Sts. ,39.944679,-75.165343
Hotel ,Elrae,805 N. 13th St.,39.967781,-75.157788
Hotel ,Elizabeth Fry ,756 S. 16th St. ,39.941866,-75.169574
Hotel ,La Salle ,2026 Ridge Ave ,39.976039,-75.169073
Hotel ,Maceo Cafe ,Van Pelt & Norris St. ,39.985194,-75.169107
Hotel ,New Roadside,514 S. 15th St. ,39.944433,-75.167227
Hotel ,Paradise,1627 Fitzwater St. ,39.942457,-75.170074
Hotel ,The Alston ,2333 Catherine St. ,39.942903,-75.181833
Hotel ,Y.M.C.A. ,1724 Christian St.,39.940489,-75.17214
Hotel ,Y.W.C.A.,1605 Catherine St. ,39.941369,-75.169764
Hotel ,Y.W.C.A.,6128 Germantown Ave. ,40.040959,-75.179846
Hotel ,Horseshoe,12th & Lombard ,39.944261,-75.161514
Hotel ,New Phain ,2059 Fitzwater St. ,39.943369,-75.177167
Hotel ,Dupree,Borad & South Sts. ,39.919932,-75.170605
Taverns ,Cotton Grove,1329 South St. ,39.943654,-75.164261
Taverns ,Loyal Grill,16th & South Sts. ,39.920378,-75.173908
Taverns ,Lyons Café,1418 South St. ,39.94351,-75.166307
Taverns ,National Café,11th & Fitzwater,39.941086,-75.16057
Taverns ,Wayside Inn,13th & Oxford Sts. ,39.976994,-75.156003
Taverns ,Dixon's Wonder Bar,19th & Montogomery Sts. ,39.981176,-75.165466
Taverns ,"Lenox, Popular",Jessup Sts. ,39.926208,-75.164466
Taverns ,Sam's,1612 South St. ,39.943927,-75.169266
Taverns ,Wander Inn,18th & Federal Sts. ,27.751803,-82.662803
Taverns ,Roseland ,5404 Arch St. ,39.957064,-75.182536
Night Clubs ,Butler's Paradise,Ridge and Jefferson ,39.977251,-75.169407
Night Clubs ,The Progressive Club,1415 S. 20th St. ,39.933638,-75.177278
Restaurants ,Marion's ,20th & Bainridge Sts. ,39.943892,-75.175209
Barber Shops ,S. Jones ,2064 Ridge St. ,39.977018,-75.169507
Beauty Parlors ,Agnes ,1811 Bainbridge St. ,39.943726,-75.172493
Beauty Parlors ,At's ,661 N. 13th St. ,39.965603,-75.158266
Beauty Parlors ,Effie's ,5502 W. Girad Ave. ,39.970651,-75.230848
Beauty Parlors ,Elizabeth's ,5003 Brown St. ,39.966096,-75.220495
Beauty Parlors ,A. Henson ,1318 Fairmont Ave. ,39.966619,-75.159613
Beauty Parlors ,Jennie's ,1618 French St. ,39.986175,-75.160136
Beauty Parlors ,La Salle ,2036 Ridge St. ,39.976287,-75.169165
Beauty Parlors ,Lady Ross,718 S. 18th St. ,39.943009,-75.172345
Beauty Parlors ,Reynolds ,1612 N. 13th St. ,39.977176,-75.155964
Beauty Parlors ,Redmond's ,710 N. 48th St. ,39.964376,-75.21666
Beauty Parlors ,Rose's ,16th & South Sts. ,39.947701,-75.168124
Beauty Parlors ,F. Franklin ,2115 W. York St. ,39.991014,-75.167455
Beauty Parlors ,A.B. Tooks ,916 S. 17th St.,39.940029,-75.171399
Beauty Parlors ,R. Morton's ,17th & Bainbridge Sts. ,39.943379,-75.170528
Automotives ,United Oili ,16th & Fitzwater ,39.942216,-75.169161
Garages ,Booker Bros ,1811 Fitzwater St. ,39.942755,-75.172874
Garages ,Garage,5732 Westminister Ave. ,39.96734,-75.233603
Garages ,Garage,1823 Bainbridge St. ,39.943893,-75.172818
Service Stations ,Dorsey Bros.,2009 Oxford St. ,39.978718,-75.168104
